Year,Review
2023,I love the Gap but the app is intermittent sometimes. also must be signed into your acct to shop. that's weird..
2021,GAP has the best vintage sweats ever! super soft and comfortable. classic style. classic colors.
2023,you have petite sizes. thank you!
2022,"I buy all of my son's clothes from Gap and Old Navy.... great prices, always sales, quality products!!"
2023,Doesn't work half the time. I'll be stuck on a loading page forever. Not the best user experience.
2022,GAP always has the most up-to-date styles for any age. I am now in my 60s and their staples work as well now as they did in my 30s!
2021,"Beautiful app, I like easy access to the brands. It's better than the previous one."
2023,"nice sales, nice quality"
2021,"Still crashing, maybe I still need to restart my device b4 I use it, take it easy, really this is not windows OS after all."
2021,"Good service, good styles, good quality, and the app always works - what's not to love!"
2023,The app has been getting stuck for months. Pixel 6 pro. Pages won't load. Just sits thinking forever.
2021,"Doesnt work AT ALL!!!!!, otherwise it is the greatest app ever made, once they figure out how to make it work."
2022,Terrible app! Glitchy and constantly having to update and change passwords.. So frustrating!!!
2023,"Love the update, continue to create classic clothing ??"
2021,You can't find the Gap factor anymore on this app. Put in codes multiple times and it never works. This is upsetting.
2023,This app doesn't load half the time
2021,"Always having problems logging into my account, this is the only credit card I have this problems with."
2022,Found all my classic and stunning shirts here!!! Keeps my wardrobe fresh and will continue to buy these high quality items
2021,so uncomfortable... it's horrible when look a item and go back you have to start from the beginning and I have more than 5 minutes and cannot find yab to go to hap factory or banana factory
2022,It makes me log in multiple times while using the app in one sitting. It's pretty annoying
2022,Every timeI try to use it. It freeze in the upgrade sign. And won't let me continue
2022,The app does not work. Everytime I try to filter or access my account it freezes
2022,Everytime I open my app it says to download new version so I click it then it says its already downloaded its annoying please fix
2022,"Throws an error when I click on checkout, complete and utter waste of time."
2022,Years ago I bought some jeans from Gap. They were the best-fitting jeans that I've ever worn!
2021,The Tracking points tab in the app has not worked for months !! Please Fix !!!
2021,Never had any issues using Gap app up until recent update. Now it's just an app with glitches
2022,Cannot enter password. The space is blocked bc Sign In option is over it. Useless
2022,Editing my review as the app has gotten a lot better and now is easy to use. Just need to figure out how to add my gap cash :)
2022,The app runs pretty fast. The quality of the pictures is great too. I love this brand.
2021,Tried to log in to make a payment and was told had to go to GAP website. Will use computer from now on. This site is terrible.
2023,way better alternative to their website
2021,Crashes every time I open it. Old navy app does too. Frustrating.
2022,I love it so easy to shop Gap and also you can switch to Old Navy on the same app!!!!
2022,Excellent experience I got great deals on sale and Im back at it again. Thanks.
2021,I love the quality and simplicity of my GAP's pieces.... Is like enjoy put together diferents LEGO pieces.
2023,I want to shop for jeans
2021,"Great style, fabrics and fit. The best customer service."
2021,great app and great deals...especially if you have a GAP VISA. I also like to bounce between GAP and BR
2022,"Love Baby Gap items, their items are so cute, made well with organic materials perfect for my grand baby."
2021,"Sometimes in life... you do get what you pay for. I was a fan of the $20 generic Jean, then my BFF convinced me to just try on a pair of gap jeans... I will never buy a different brand of jeans, EVER!! 1st you notice the thickness of the Jean, then you notice the quality when you try to put your BAB in the jeans and the belt loops don't break off and the buttons don't pop off!! #lovemesomegapjeans ??????"
2022,"Preferential treatment given to iOS app users for free shipping. Should be all GAP apps at the same time. Not everyone can afford iPhones, iPads..."
2022,Great online shopping with good quality clothing and periodic sales with great prices and free shipping.
2022,Worked perfect until recent update. Know I am Unable to login on app or website.
2021,"I've been rocking with Gap so long, since 1994 and still to this day...??... Comfort, Quality & Style..."
2022,Receive the following error Something Went Wrong Uh oh! We weren't able to complete your request. Refresh to try again.
2021,Your clothes stand up to the test of time. very comfortable very strong.
2022,Easy to maneuver. No problem entering promo code. Good app.
2021,Great quality of clothing and its easy to find awesome deals!!
2021,Navigation is not great. Prefer the old version.
